BCR,CD40,IL21_4,STAT,Syk,PI3K,BTK,CBM,TRAF6,NEMO_IKK,RelA_p50,IRF4,RAF,Erk,BCL6,Blimp1,cMyc,AID,BCL2,ID
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,1,35
1,1,1,1,1,0,1,1,1,2,2,2,1,1,1,0,0,1,1,35
0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,36
0,0,1,1,0,0,0,1,0,1,2,2,0,0,0,1,0,0,1,36
0,1,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,1,36
0,1,1,1,0,0,0,1,1,2,2,2,0,0,0,1,0,0,1,36
1,0,0,0,1,0,1,1,0,1,2,2,1,1,0,0,0,0,1,36
1,0,1,1,1,0,1,1,0,1,2,2,1,0,0,1,0,0,1,36
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,36
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,36
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37
0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37
0,1,0,0,0,0,0,0,1,2,2,2,0,1,1,0,0,0,0,37
0,1,1,1,0,0,0,0,1,2,2,2,0,1,1,0,0,1,0,37
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,37
1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,37
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,37
1,1,1,1,1,0,1,1,1,2,2,2,1,1,1,0,0,1,0,37
0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,38
0,0,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,38
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,38
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,38
1,0,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,38
1,0,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,38
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,38
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,38
0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,39
0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,39
0,1,0,0,0,0,0,1,1,2,2,2,0,0,1,0,0,0,0,39
0,1,1,1,0,0,0,1,1,2,2,2,0,0,1,0,0,1,0,39
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,39
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,39
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,39
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,39
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,40
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,40
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,40
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,40
0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,41
0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,41
0,1,0,0,0,0,0,1,1,2,2,2,0,0,0,0,1,0,1,41
0,1,1,1,0,0,0,1,1,2,2,2,0,0,0,1,1,0,1,41
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,41
